AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,time_rel,time_gap,jerk_x,jerk_y,jerk_z,lateral_qforce,speed_variance,label
-0.5245774,-0.25839394,1.0285997,-0.00061086525,-0.08895725,0.111635625,AGGRESSIVE,819253,0.331,0.0,25.879996,-12.2013074,5.9039398,0.58476394965788,1.5718415105569505,1
0.15672529,-0.12485576,-0.11037636,0.035430185,0.0613156,0.021838432,AGGRESSIVE,819254,0.332,1.0,6.8130269,1.3353818,-11.3897606,0.20037908406508323,1.6732031028436505,1
-0.43741876,-0.30337596,-1.1744051,0.20280726,0.28672487,0.07376198,AGGRESSIVE,819254,0.332,0.0,-5.941440500000001,-1.7852020000000002,-10.640287399999998,0.5323271031103519,1.6433115547402983,1
-0.9119856,1.276383,0.4663601,0.03481932,-0.07612908,0.1348485,AGGRESSIVE,819255,0.333,1.0,-4.7456684,15.797589599999998,16.407652,1.5687164489787055,1.6384618748522333,1
-0.31164432,1.068704,0.040981293,0.122783914,-0.040698897,0.14950927,AGGRESSIVE,819255,0.333,0.0,6.0034127999999995,-2.0767899999999995,-4.25378807,1.1132162511409285,1.623236064908602,1
0.19861925,-0.1273719,0.8023977,0.013439035,-0.07307476,0.08231409,AGGRESSIVE,819256,0.334,1.0,5.1026357,-11.960759000000001,7.61416407,0.2359517056097974,1.6731803905211446,1
0.35287866,0.9651164,0.90021515,0.047647487,0.025274549,0.18066339,AGGRESSIVE,819256,0.334,0.0,1.5425941,10.924883000000001,0.9781744999999997,1.0276054759645628,1.665226131853694,1
-0.1619122,0.838387,-0.84493256,0.032986723,0.12728904,0.0664316,AGGRESSIVE,819257,0.335,1.0,-5.147908599999999,-1.267294,-17.451477099999998,0.8538784001705629,1.692156670561827,1
-0.02706337,0.013810396,0.17640018,-0.0421497,-0.08590292,0.011453724,AGGRESSIVE,819257,0.335,0.0,1.3484883,-8.24576604,10.2133274,0.0303834335359537,1.780643505246001,1
0.45200872,-0.55360615,1.1348505,0.028710667,0.027718011,0.0786489,AGGRESSIVE,819258,0.336,1.0,4.790720899999999,-5.67416546,9.5845032,0.714696895385632,1.791658721908157,1
0.53948593,0.6941153,0.7145138,0.035430185,-0.029092457,-0.020922136,AGGRESSIVE,819258,0.336,0.0,0.8747721000000003,12.4772145,-4.203367,0.8791138256005617,1.821325463640383,1
0.6217079,0.74647945,0.035632133,-0.040927973,-0.53488886,-0.12904528,AGGRESSIVE,819259,0.337,1.0,0.8222196999999998,0.5236415000000005,-6.788816669999999,0.9714691359969767,1.8363046397151472,1
-1.0196713,-1.1678065,-0.1697855,-0.06536258,-0.11217013,0.00290161,AGGRESSIVE,819260,0.338,1.0,-16.413791999999997,-19.1428595,-2.05417633,1.5503230571354925,1.8187572377676917,1
0.0843699,-0.14680517,0.36390114,0.06536258,-0.18364136,-0.08750644,AGGRESSIVE,819260,0.338,0.0,11.040412,10.2100133,5.3368664,0.16932229021820755,1.8562528805377978,1
-0.6187942,-1.98911,0.606472,0.10445796,0.009392053,-0.038026363,AGGRESSIVE,819261,0.339,1.0,-7.031641,-18.4230483,2.4257086,2.0831382225031634,1.853657730730712,1
-0.28088808,-1.1360557,-0.9250107,-0.092240654,-0.035811976,0.0035124752,AGGRESSIVE,819261,0.339,0.0,3.3790611999999998,8.530543,-15.314827,1.1702652122440351,1.8519555701617918,1
-0.6355176,-1.5767183,-1.6950631,0.03359759,0.12667818,0.051159963,AGGRESSIVE,819262,0.34,1.0,-3.5462952000000003,-4.406626,-7.700524000000001,1.6999774167513668,1.8506487859138032,1
0.859643,-1.793379,0.099451065,-0.08002335,-0.23128885,-0.0154243475,AGGRESSIVE,819262,0.34,0.0,14.951606000000002,-2.1666070000000004,17.94514165,1.9887670364047167,1.8496751666085844,1
-0.45079648,-1.5305989,0.18827724,-0.021991149,0.0020616702,0.0346666,AGGRESSIVE,819263,0.341,1.0,-13.104394800000001,2.6278010000000007,0.8882617500000001,1.5956034780175181,1.8394629400953857,1
-1.262578,-1.790165,-0.9801626,0.029321533,-0.005879578,0.010231993,AGGRESSIVE,819263,0.341,0.0,-8.1178152,-2.595661,-11.6843984,2.1906149669234436,1.8403243495812676,1
2.4159982,0.16665208,0.86100006,-0.21135938,-0.21540636,-0.01786781,AGGRESSIVE,819264,0.342,1.0,36.785762000000005,19.5681708,18.411626599999998,2.4217390896154707,1.8352258361954004,1
0.14234066,-1.349816,0.22816849,-0.10567969,-0.18241963,-0.0056505036,AGGRESSIVE,819264,0.342,0.0,-22.736575400000003,-15.1646808,-6.3283157,1.357300297408512,1.8370248333483703,1
1.4602203,0.0386827,1.4889956,-0.043982297,-0.04925101,-0.001985312,AGGRESSIVE,819265,0.343,1.0,13.178796400000001,13.884986999999999,12.6082711,1.460732581895598,1.8364878724751097,1
-0.962693,-0.64983475,-0.23180103,-0.047036625,-0.020540344,-0.0062613687,AGGRESSIVE,819266,0.344,1.0,-24.229133000000004,-6.8851745,-17.2079663,1.1614917195385261,1.4144491392383598,1
2.013795,1.2788975,-2.6065173,-0.070249505,-0.044974953,-0.010537425,AGGRESSIVE,819266,0.344,0.0,29.764879999999998,19.2873225,-23.7471627,2.3855710254635576,1.4511255855637513,1
2.587015,-0.7532729,-0.69731426,-0.021991149,0.059483003,-0.03924809,AGGRESSIVE,819267,0.345,1.0,5.732200000000001,-20.321704,19.092030400000002,2.6944510892015483,1.3383155128488804,1
0.57405376,0.8923614,-0.96689224,0.016493361,0.16027577,-0.013591751,AGGRESSIVE,819267,0.345,0.0,-20.1296124,16.456343,-2.6957798,1.0610591819404314,1.237594156932909,1
2.9806361,0.27312255,0.89233685,-0.01282817,0.05337435,-0.066737026,AGGRESSIVE,819268,0.346,1.0,24.0658234,-6.192388499999999,18.5922909,2.993123366642563,1.2291332020637555,1
0.31154013,-0.6165136,1.475462,-0.007330383,-0.052916203,-0.07162395,AGGRESSIVE,819268,0.346,0.0,-26.6909597,-8.896361500000001,5.8312515000000005,0.6907577517374502,1.23104234615878,1
0.1172868,-0.74415636,1.5796375,0.028099801,-0.0687987,-0.09239337,AGGRESSIVE,819269,0.347,1.0,-1.9425333000000002,-1.2764275999999997,1.0417549999999998,0.7533424729714165,0.88493987055749,1
0.7503079,-1.1638892,0.34555244,0.016493361,0.04482224,-0.066737026,AGGRESSIVE,819269,0.347,0.0,6.330211,-4.197328400000001,-12.3408506,1.3847743551492604,0.7874570379762037,1
-1.2483845,-1.3980371,0.9090071,0.014049901,-0.005879578,-0.05207626,AGGRESSIVE,819270,0.348,1.0,-19.986924,-2.3414789999999996,5.634546599999998,1.8742922911906403,0.7216352819282322,1
0.7730305,-0.7528565,-1.6628022,0.13561209,0.022831088,-0.111941054,AGGRESSIVE,819270,0.348,0.0,20.214150000000004,6.4518059999999995,-25.718093,1.0790593419837946,0.6879726820693114,1
-0.3359177,-1.4488277,-0.22087193,0.0012217305,-0.034590244,-0.1375974,AGGRESSIVE,819271,0.349,1.0,-11.089482,-6.959712,14.419302700000001,1.4872600328996206,0.6896293069458332,1
2.3999114,-0.19727707,-0.6239176,-0.06841691,0.0045051314,-0.14187345,AGGRESSIVE,819271,0.349,0.0,27.358291,12.515506300000002,-4.030456699999999,2.4080060153989953,0.685579722887095,1
2.722256,-0.2740841,2.7001429,-0.093462385,-0.042531494,-0.15775596,AGGRESSIVE,819272,0.35,1.0,3.2234459999999965,-0.7680703,33.240605,2.7360189735103826,0.7673317865258819,1
1.1424448,1.1666042,-1.7912002,-0.11178834,-0.20868684,-0.120493166,AGGRESSIVE,819273,0.351,1.0,-15.798111999999998,14.406883,-44.913431,1.6328335740376851,0.7547160484599067,1
1.3609157,0.31068325,-0.9492445,0.065973446,0.02649628,-0.16142114,AGGRESSIVE,819273,0.351,0.0,2.1847090000000002,-8.5592095,8.419557,1.3959282303675402,0.753740403805909,1
2.3484886,1.0995541,3.198042,-0.032986723,0.049098294,-0.055741455,AGGRESSIVE,819274,0.352,1.0,9.875729,7.888708499999999,41.472865,2.5931482647848676,0.8400722829655529,1
0.12971258,1.3149405,0.16196251,-0.02443461,-0.059024855,-0.069791354,AGGRESSIVE,819274,0.352,0.0,-22.1877602,2.153864000000001,-30.360794900000002,1.3213227735684066,0.8423449118707677,1
5.3406696,1.9441955,1.9685249,0.03176499,-0.088346384,-0.17913623,AGGRESSIVE,819275,0.353,1.0,52.10957020000001,6.2925499999999985,18.065623900000002,5.683541846294827,1.173374688606944,1
-0.87134266,-0.8756576,-0.623682,0.014049901,0.08513934,-0.066737026,AGGRESSIVE,819275,0.353,0.0,-62.1201226,-28.198531,-25.922069,1.2353194985806852,1.1744917638972094,1
-2.3762476,-0.5326245,-0.12322807,0.031154128,0.11262828,0.05299256,AGGRESSIVE,819276,0.354,1.0,-15.049049400000001,3.4303310000000007,5.004539299999999,2.4352087209325632,1.0639365128588274,1
0.33670163,-0.56696254,-1.3855648,-0.03726278,-0.016264288,-0.063682705,AGGRESSIVE,819276,0.354,0.0,27.1294923,-0.3433804000000007,-12.623367300000002,0.6594046628648516,1.0605642241823434,1
-3.0567303,0.90997994,0.7467537,0.04886922,-0.05352707,0.1525636,AGGRESSIVE,819277,0.355,1.0,-33.9343193,14.7694248,21.323185000000002,3.189304566538055,1.098659232938416,1
-0.86886,-0.85001606,-0.27031898,0.106901415,-0.17997618,0.035277467,AGGRESSIVE,819277,0.355,0.0,21.878703,-17.599960000000003,-10.1707268,1.2155019546911159,1.103648236845218,1
-3.018373,1.4134933,-0.030014992,0.069027774,0.10285444,0.2087632,AGGRESSIVE,819278,0.356,1.0,-21.495129999999996,22.6350936,2.40303988,3.332947475774842,1.115597127337291,1
-2.6389287,0.322896,-0.24575996,0.042760566,-0.115835324,0.0926988,AGGRESSIVE,819278,0.356,0.0,3.7944429999999985,-10.905973,-2.15744968,2.6586098830967453,1.1261284728868615,1
-0.12541234,-0.16473049,2.718791,0.028099801,0.0051159966,0.06093381,AGGRESSIVE,819279,0.357,1.0,25.135163600000002,-4.876264900000001,29.6455096,0.20703716902990077,1.1374231339333059,1
0.3376652,-0.6407666,0.42655182,0.0061086523,0.059483003,-0.08017606,AGGRESSIVE,819280,0.358,1.0,4.6307754,-4.7603611,-22.9223918,0.7242924982122898,1.1261490574888022,1
0.34933376,-0.62098277,0.6680517,-0.017715093,0.018555032,0.023060163,AGGRESSIVE,819280,0.358,0.0,0.11668559999999994,0.19783829999999947,2.4149988000000002,0.7124981940416485,1.1332665943876714,1
